Preview,Name,Link
../../assets/thumbnails/P1-14A-optical-clearing/P1_14A1_ KRT19 green INS white stack_Maximum intensity projection_thumbnail.png,P1_14A1_ KRT19 green INS white stack_Maximum intensity projection.czi,/optical-clearing/P1/P1-14A/P1-14A-1
../../assets/thumbnails/P1-14A-optical-clearing/P1_14A1_ KRT19 green INS white stack_thumbnail.png,P1_14A1_ KRT19 green INS white stack.czi,/optical-clearing/P1/P1-14A/P1-14A-2
../../assets/thumbnails/P1-14A-optical-clearing/P1_14A1_INS tile_Stitch_thumbnail.png,P1_14A1_INS tile_Stitch.czi,/optical-clearing/P1/P1-14A/P1-14A-3
../../assets/thumbnails/P1-14A-optical-clearing/P1_14A1_KRT green INS white stack higher res_Maximum intensity projection_thumbnail.png,P1_14A1_KRT green INS white stack higher res_Maximum intensity projection.czi,/optical-clearing/P1/P1-14A/P1-14A-4
../../assets/thumbnails/P1-14A-optical-clearing/P1_14A1_KRT green INS white stack higher res_thumbnail.png,P1_14A1_KRT green INS white stack higher res.czi,/optical-clearing/P1/P1-14A/P1-14A-5
../../assets/thumbnails/P1-14A-optical-clearing/P1_14A1_KRT green INS white stack_Maximum intensity projection_thumbnail.png,P1_14A1_KRT green INS white stack_Maximum intensity projection.czi,/optical-clearing/P1/P1-14A/P1-14A-6
../../assets/thumbnails/P1-14A-optical-clearing/P1_14A1_KRT green INS white stack_Stitch_thumbnail.png,P1_14A1_KRT green INS white stack_Stitch.czi,/optical-clearing/P1/P1-14A/P1-14A-7
../../assets/thumbnails/P1-14A-optical-clearing/P1_14A1_KRT green stack_thumbnail.png,P1_14A1_KRT green stack.czi,/optical-clearing/P1/P1-14A/P1-14A-8
../../assets/thumbnails/P1-14A-optical-clearing/P1_14A2_CD31 red INS white stack high res 2x_Maximum intensity projection_thumbnail.png,P1_14A2_CD31 red INS white stack high res 2x_Maximum intensity projection.czi,/optical-clearing/P1/P1-14A/P1-14A-10
../../assets/thumbnails/P1-14A-optical-clearing/P1_14A2_CD31 red INS white stack high res 2x_thumbnail.png,P1_14A2_CD31 red INS white stack high res 2x.czi,/optical-clearing/P1/P1-14A/P1-14A-11
../../assets/thumbnails/P1-14A-optical-clearing/P1_14A2_CD31 red INS white stack high res_Maximum intensity projection_thumbnail.png,P1_14A2_CD31 red INS white stack high res_Maximum intensity projection.czi,/optical-clearing/P1/P1-14A/P1-14A-12
../../assets/thumbnails/P1-14A-optical-clearing/P1_14A2_CD31 red INS white stack high res_thumbnail.png,P1_14A2_CD31 red INS white stack high res.czi,/optical-clearing/P1/P1-14A/P1-14A-13
