block,oc,file,basefile,height,width,slices,channels
P1-14A,P1-14A-1,P1_14A1_ KRT19 green INS white stack.czi,P1_14A1_ KRT19 green INS white stack,2048,2048,14,2
P1-14A,P1-14A-2,P1_14A1_ KRT19 green INS white stack_Maximum intensity projection.czi,P1_14A1_ KRT19 green INS white stack_Maximum intensity projection,2048,2048,1,2
P1-14A,P1-14A-3,P1_14A1_INS tile_Stitch.czi,P1_14A1_INS tile_Stitch,947,1185,1,1
P1-14A,P1-14A-4,P1_14A1_KRT green INS white stack higher res.czi,P1_14A1_KRT green INS white stack higher res,1336,1336,10,2
P1-14A,P1-14A-5,P1_14A1_KRT green INS white stack higher res_Maximum intensity projection.czi,P1_14A1_KRT green INS white stack higher res_Maximum intensity projection,1336,1336,1,2
P1-14A,P1-14A-6,P1_14A1_KRT green INS white stack_Maximum intensity projection.czi,P1_14A1_KRT green INS white stack_Maximum intensity projection,3787,4710,1,2
P1-14A,P1-14A-7,P1_14A1_KRT green INS white stack_Stitch.czi,P1_14A1_KRT green INS white stack_Stitch,3789,4710,5,2
P1-14A,P1-14A-8,P1_14A1_KRT green stack.czi,P1_14A1_KRT green stack,256,256,99,1
P1-14A,P1-14A-9,P1_14A2_CD31 red INS green stack high res 2x_Maximum intensity projection_c1+2.jpg,P1_14A2_CD31 red INS green stack high res 2x_Maximum intensity projection_c1+2,2048,2048,1,3
P1-14A,P1-14A-10,P1_14A2_CD31 red INS white stack high res 2x.czi,P1_14A2_CD31 red INS white stack high res 2x,2048,2048,14,2
P1-14A,P1-14A-11,P1_14A2_CD31 red INS white stack high res 2x_Maximum intensity projection.czi,P1_14A2_CD31 red INS white stack high res 2x_Maximum intensity projection,2048,2048,1,2
P1-14A,P1-14A-12,P1_14A2_CD31 red INS white stack high res.czi,P1_14A2_CD31 red INS white stack high res,2048,2048,12,2
P1-14A,P1-14A-13,P1_14A2_CD31 red INS white stack high res_Maximum intensity projection.czi,P1_14A2_CD31 red INS white stack high res_Maximum intensity projection,2048,2048,1,2
P1-19A,P1-19A-1,P1_19A1 INS tile_Stitch.czi,P1_19A1 INS tile_Stitch,589,589,1,1
P1-19A,P1-19A-2,P1_19A1 KRT green INS white stack 2x.czi,P1_19A1 KRT green INS white stack 2x,1860,1860,11,2
P1-19A,P1-19A-3,P1_19A1 KRT green INS white stack 2x_Maximum intensity projection.czi,P1_19A1 KRT green INS white stack 2x_Maximum intensity projection,1860,1860,1,2
P1-19A,P1-19A-4,P1_19A1 KRT green INS white stack.czi,P1_19A1 KRT green INS white stack,2048,2048,10,2
P1-19A,P1-19A-5,P1_19A2 CD31 red INS white stack 2.czi,P1_19A2 CD31 red INS white stack 2,1024,1024,16,2
P1-19A,P1-19A-6,P1_19A2 CD31 red INS white stack 2_Maximum intensity projection.czi,P1_19A2 CD31 red INS white stack 2_Maximum intensity projection,1024,1024,1,2
P1-19A,P1-19A-7,P1_19A2 CD31 red INS white stack.czi,P1_19A2 CD31 red INS white stack,3104,3104,11,2
P1-19A,P1-19A-8,P1_19A2 CD31 red INS white stack_Maximum intensity projection.czi,P1_19A2 CD31 red INS white stack_Maximum intensity projection,3104,3104,1,2
P1-19A,P1-19A-9,P1_19A2 INS tile scan_Stitch.czi,P1_19A2 INS tile scan_Stitch,474,589,1,1
P1-19A,P1-19A-10,P1_19A AF_CD31.avi,P1_19A AF_CD31,512,512,60,1
P1-19A,P1-19A-11,P1_19A2__z_stack__no_tiling__not_isotropic_dx_dy_dz_sampling.avi,P1_19A2__z_stack__no_tiling__not_isotropic_dx_dy_dz_sampling,512,512,60,1
P1-4A,P1-4A-1,P1_4A2 top rows scan CD31 555 INS 680.czi,P1_4A2 top rows scan CD31 555 INS 680,244,588,1,2
P1-4A,P1-4A-2,P1_4A2_CD31 555.czi,P1_4A2_CD31 555,512,512,1,1
P1-4A,P1-4A-3,P1_4A2_CD31_555_INS_680 stack.czi,P1_4A2_CD31_555_INS_680 stack,1024,1024,22,2
P1-4A,P1-4A-4,P1_4A2_GCG_KRT19_CD31_INS_2  stack_Maximum intensity projection.czi,P1_4A2_GCG_KRT19_CD31_INS_2  stack_Maximum intensity projection,1024,1024,1,4
P1-4A,P1-4A-5,P1_4A_1_stack_KRT19_555_INS_680.czi,P1_4A_1_stack_KRT19_555_INS_680,1024,1024,28,2
P1-4A,P1-4A-6,P1_4A_1_stack_KRT19_555_INS_680_Maximum intensity projection.czi,P1_4A_1_stack_KRT19_555_INS_680_Maximum intensity projection,1024,1024,1,2
P1-4A,P1-4A-7,P1_4A_1_tile_Nuclear_KRT19_555_INS_647_2_Stitch.czi,P1_4A_1_tile_Nuclear_KRT19_555_INS_647_2_Stitch,1898,2816,1,3
P1-4A,P1-4A-8,P1_4A_GCG_KRT19_CD31_INS stack adj.czi,P1_4A_GCG_KRT19_CD31_INS stack adj,1024,1024,12,4
P1-7A,P1-7A-1,P1_7A2_CD31 INS tile and stack_Stitch.czi,P1_7A2_CD31 INS tile and stack_Stitch,2359,2362,5,2
P1-7A,P1-7A-2,P1_7A2_KRT CD31 INS higher res_Stitch.czi,P1_7A2_KRT CD31 INS higher res_Stitch,2867,4710,1,3
P1-7A,P1-7A-3,P1_7A2_KRT CD31 INS tile 2_Stitch.czi,P1_7A2_KRT CD31 INS tile 2_Stitch,1434,1894,1,3
P1-7A,P1-7A-4,P1_7A2_KRT CD31 INS tile 3_Stitch.czi,P1_7A2_KRT CD31 INS tile 3_Stitch,1894,3277,1,3
P1-7A,P1-7A-5,P1_7A2_KRT CD31 INS tile stack higher res 2_Stitch.czi,P1_7A2_KRT CD31 INS tile stack higher res 2_Stitch,5992,5992,4,3
P1-7A,P1-7A-6,P1_7A2_KRT CD31 INS tile stack_Stitch.czi,P1_7A2_KRT CD31 INS tile stack_Stitch,4066,5992,1,3
P1-7A,P1-7A-7,P1_7A2_KRT CD31 INS tile_Stitch.czi,P1_7A2_KRT CD31 INS tile_Stitch,1437,2355,1,3
P1-7A,P1-7A-8,P1_7A2_stack NY CD31 INS no KRT.czi,P1_7A2_stack NY CD31 INS no KRT,256,256,24,2
P1-7A,P1-7A-9,P1_7A2_stack NY CD31 INS no KRT_Maximum intensity projection.czi,P1_7A2_stack NY CD31 INS no KRT_Maximum intensity projection,256,256,1,2
P1-7A,P1-7A-10,P1_7A2_stack NY KRT CD31 INS stack.czi,P1_7A2_stack NY KRT CD31 INS stack,256,256,24,3
P1-7A,P1-7A-11,P1_7A2_tile scan CD31 INS.czi,P1_7A2_tile scan CD31 INS,2354,2355,1,2
