Block,Preview,Name,Link,,,,
P1-19A,../../assets/thumbnails/P1-19A-optical-clearing/P1_19A1 INS tile_Stitch_thumbnail.png,P1_19A1 KRT green INS white stack 2x_Maximum intensity projection.czi,/optical-clearing/P1/P1-19A/P1-19A-1,,,,
P1-19A,../../assets/thumbnails/P1-19A-optical-clearing/P1_19A1 KRT green INS white stack 2x_Maximum intensity projection_thumbnail.png,P1_19A1 KRT green INS white stack 2x.czi,/optical-clearing/P1/P1-19A/P1-19A-2,,,,
P1-19A,../../assets/thumbnails/P1-19A-optical-clearing/P1_19A1 KRT green INS white stack 2x_thumbnail.png,P1_19A1 KRT green INS white stack.czi,/optical-clearing/P1/P1-19A/P1-19A-3,,,,
P1-19A,../../assets/thumbnails/P1-19A-optical-clearing/P1_19A1 KRT green INS white stack_thumbnail.png,P1_19A2 CD31 red INS white stack 2_Maximum intensity projection.czi,/optical-clearing/P1/P1-19A/P1-19A-4,,,,
P1-19A,../../assets/thumbnails/P1-19A-optical-clearing/P1_19A2 CD31 red INS white stack 2_Maximum intensity projection_thumbnail.png,P1_19A2 CD31 red INS white stack 2.czi,/optical-clearing/P1/P1-19A/P1-19A-5,,,,
P1-19A,../../assets/thumbnails/P1-19A-optical-clearing/P1_19A2 CD31 red INS white stack 2_thumbnail.png,P1_19A2 CD31 red INS white stack_Maximum intensity projection.czi,/optical-clearing/P1/P1-19A/P1-19A-6,,,,
P1-19A,../../assets/thumbnails/P1-19A-optical-clearing/P1_19A2 CD31 red INS white stack_Maximum intensity projection_thumbnail.png,P1_19A2 CD31 red INS white stack.czi,/optical-clearing/P1/P1-19A/P1-19A-7,,,,
P1-19A,../../assets/thumbnails/P1-19A-optical-clearing/P1_19A2 CD31 red INS white stack_thumbnail.png,P1_19A2 INS tile scan_Stitch.czi,/optical-clearing/P1/P1-19A/P1-19A-8,,,,
P1-19A,../../assets/thumbnails/P1-19A-optical-clearing/P1_19A2 INS tile scan_Stitch_thumbnail.png,P1_19A1 INS tile_Stitch.czi,/optical-clearing/P1/P1-19A/P1-19A-9,,,,
P1-19A,../../assets/thumbnails/P1-19A-optical-clearing/P1_19A AF_CD31_thumbnail.png,P1_19A AF_CD31.avi,/optical-clearing/P1/P1-19A/P1-19A-10,,,,
P1-19A,../../assets/thumbnails/P1-19A-optical-clearing/P1_19A2__z_stack__no_tiling__not_isotropic_dx_dy_dz_sampling_thumbnail.png,P1_19A2__z_stack__no_tiling__not_isotropic_dx_dy_dz_sampling.avi,/optical-clearing/P1/P1-19A/P1-19A-11,,,,
P1-14A,../../assets/thumbnails/P1-14A-optical-clearing/P1_14A1_ KRT19 green INS white stack_Maximum intensity projection_thumbnail.png,P1_14A1_ KRT19 green INS white stack_Maximum intensity projection.czi,/optical-clearing/P1/P1-14A/P1-14A-1,,,,
P1-14A,../../assets/thumbnails/P1-14A-optical-clearing/P1_14A1_ KRT19 green INS white stack_thumbnail.png,P1_14A1_ KRT19 green INS white stack.czi,/optical-clearing/P1/P1-14A/P1-14A-2,,,,
P1-14A,../../assets/thumbnails/P1-14A-optical-clearing/P1_14A1_INS tile_Stitch_thumbnail.png,P1_14A1_INS tile_Stitch.czi,/optical-clearing/P1/P1-14A/P1-14A-3,,,,
P1-14A,../../assets/thumbnails/P1-14A-optical-clearing/P1_14A1_KRT green INS white stack higher res_Maximum intensity projection_thumbnail.png,P1_14A1_KRT green INS white stack higher res_Maximum intensity projection.czi,/optical-clearing/P1/P1-14A/P1-14A-4,,,,
P1-14A,../../assets/thumbnails/P1-14A-optical-clearing/P1_14A1_KRT green INS white stack higher res_thumbnail.png,P1_14A1_KRT green INS white stack higher res.czi,/optical-clearing/P1/P1-14A/P1-14A-5,,,,
P1-14A,../../assets/thumbnails/P1-14A-optical-clearing/P1_14A1_KRT green INS white stack_Maximum intensity projection_thumbnail.png,P1_14A1_KRT green INS white stack_Maximum intensity projection.czi,/optical-clearing/P1/P1-14A/P1-14A-6,,,,
P1-14A,../../assets/thumbnails/P1-14A-optical-clearing/P1_14A1_KRT green INS white stack_Stitch_thumbnail.png,P1_14A1_KRT green INS white stack_Stitch.czi,/optical-clearing/P1/P1-14A/P1-14A-7,,,,
P1-14A,../../assets/thumbnails/P1-14A-optical-clearing/P1_14A1_KRT green stack_thumbnail.png,P1_14A1_KRT green stack.czi,/optical-clearing/P1/P1-14A/P1-14A-8,,,,
P1-14A,../../assets/thumbnails/P1-14A-optical-clearing/P1_14A2_CD31 red INS white stack high res 2x_Maximum intensity projection_thumbnail.png,P1_14A2_CD31 red INS white stack high res 2x_Maximum intensity projection.czi,/optical-clearing/P1/P1-14A/P1-14A-10,,,,
P1-14A,../../assets/thumbnails/P1-14A-optical-clearing/P1_14A2_CD31 red INS white stack high res 2x_thumbnail.png,P1_14A2_CD31 red INS white stack high res 2x.czi,/optical-clearing/P1/P1-14A/P1-14A-11,,,,
P1-14A,../../assets/thumbnails/P1-14A-optical-clearing/P1_14A2_CD31 red INS white stack high res_Maximum intensity projection_thumbnail.png,P1_14A2_CD31 red INS white stack high res_Maximum intensity projection.czi,/optical-clearing/P1/P1-14A/P1-14A-12,,,,
