Tissue Block,Organ ID,Organ Description,Order,Anatomical region,Images,Reports,Proteomics
P1-4A,P1,Pancreas 1,2,Pancreatic head,/scientific-images-list/P1-4A,/reports, 
P1-7A,P1,Pancreas 1,3,Pancreatic neck,/scientific-images-list/P1-7A, , 
P1-9,P1,Pancreas 1,4,Pancreatic neck, ,/reports, 
P1-14A,P1,Pancreas 1,5,Pancreatic body,/scientific-images-list/P1-14A, , 
P1-19A,P1,Pancreas 1,6,Pancreatic tail,/scientific-images-list/P1-19A, , 
P1-20C,P1,Pancreas 1,9,Pancreatic tail, , ,/proteomics/P1-20C
P1-21,P1,Pancreas 1,10,Pancreatic tail, ,/reports, 
P2-1A,P2,Pancreas 2,1,Pancreatic head,/scientific-images-list/P2-1A, , 
P2-7A,P2,Pancreas 2,2,Pancreatic neck,/scientific-images-list/P2-7A, , 
P2-13A,P2,Pancreas 2,3,Pancreatic body,/scientific-images-list/P2-13A, , 
P2-19A,P2,Pancreas 2,4,Pancreatic tail,/scientific-images-list/P2-19A, , 
