Tissue Block,Image Set,Image Category,File,Height,Width,Slices,Channels
P1-14A,P1-14A-1,Optical Clearing,P1_14A1_ KRT19 green INS white stack.czi,2048,2048,14,2
P1-14A,P1-14A-2,Optical Clearing,P1_14A1_ KRT19 green INS white stack_Maximum intensity projection.czi,2048,2048,1,2
P1-14A,P1-14A-3,Optical Clearing,P1_14A1_INS tile_Stitch.czi,947,1185,1,1
P1-14A,P1-14A-4,Optical Clearing,P1_14A1_KRT green INS white stack higher res.czi,1336,1336,10,2
P1-14A,P1-14A-5,Optical Clearing,P1_14A1_KRT green INS white stack higher res_Maximum intensity projection.czi,1336,1336,1,2
P1-14A,P1-14A-6,Optical Clearing,P1_14A1_KRT green INS white stack_Maximum intensity projection.czi,3787,4710,1,2
P1-14A,P1-14A-7,Optical Clearing,P1_14A1_KRT green INS white stack_Stitch.czi,3789,4710,5,2
P1-14A,P1-14A-8,Optical Clearing,P1_14A1_KRT green stack.czi,256,256,99,1
P1-14A,P1-14A-9,Optical Clearing,P1_14A2_CD31 red INS green stack high res 2x_Maximum intensity projection_c1+2.jpg,2048,2048,1,3
P1-14A,P1-14A-10,Optical Clearing,P1_14A2_CD31 red INS white stack high res 2x.czi,2048,2048,14,2
P1-14A,P1-14A-11,Optical Clearing,P1_14A2_CD31 red INS white stack high res 2x_Maximum intensity projection.czi,2048,2048,1,2
P1-14A,P1-14A-12,Optical Clearing,P1_14A2_CD31 red INS white stack high res.czi,2048,2048,12,2
P1-14A,P1-14A-13,Optical Clearing,P1_14A2_CD31 red INS white stack high res_Maximum intensity projection.czi,2048,2048,1,2
P1-19A,P1-19A-1,Optical Clearing,P1_19A1 INS tile_Stitch.czi,589,589,1,1
P1-19A,P1-19A-2,Optical Clearing,P1_19A1 KRT green INS white stack 2x.czi,1860,1860,11,2
P1-19A,P1-19A-3,Optical Clearing,P1_19A1 KRT green INS white stack 2x_Maximum intensity projection.czi,1860,1860,1,2
P1-19A,P1-19A-4,Optical Clearing,P1_19A1 KRT green INS white stack.czi,2048,2048,10,2
P1-19A,P1-19A-5,Optical Clearing,P1_19A2 CD31 red INS white stack 2.czi,1024,1024,16,2
P1-19A,P1-19A-6,Optical Clearing,P1_19A2 CD31 red INS white stack 2_Maximum intensity projection.czi,1024,1024,1,2
P1-19A,P1-19A-7,Optical Clearing,P1_19A2 CD31 red INS white stack.czi,3104,3104,11,2
P1-19A,P1-19A-8,Optical Clearing,P1_19A2 CD31 red INS white stack_Maximum intensity projection.czi,3104,3104,1,2
P1-19A,P1-19A-9,Optical Clearing,P1_19A2 INS tile scan_Stitch.czi,474,589,1,1
P1-19A,P1-19A-10,Optical Clearing,P1_19A AF_CD31.avi,512,512,60,1
P1-19A,P1-19A-11,Optical Clearing,P1_19A2__z_stack__no_tiling__not_isotropic_dx_dy_dz_sampling.avi,512,512,60,1
