Block ID,X Center,Y Center,Z Center,X Size,Y Size,Z Size,Category,CYB5A,SOD1,CA2,RBP4,ALB,TF,CAT
1,221.0,248.0,0.0,50,53,35,False,0.899453,,0.0471147,,-0.378781,,0.652955
1,270.999,248.0,0.0,50,53,35,False,0.899453,,0.0471147,,-0.378781,,0.652955
1,221.0,300.999,0.0,50,53,35,False,0.899453,,0.0471147,,-0.378781,,0.652955
1,270.999,300.999,0.0,50,53,35,False,0.899453,,0.0471147,,-0.378781,,0.652955
1,221.0,248.0,34.998999999999995,50,53,35,False,0.899453,,0.0471147,,-0.378781,,0.652955
1,270.999,248.0,34.998999999999995,50,53,35,False,0.899453,,0.0471147,,-0.378781,,0.652955
1,221.0,300.999,34.998999999999995,50,53,35,False,0.899453,,0.0471147,,-0.378781,,0.652955
1,270.999,300.999,34.998999999999995,50,53,35,False,0.899453,,0.0471147,,-0.378781,,0.652955
46,221.0,248.0,35.0,50,53,35,False,0.785047,,0.262513,,-0.798416,,0.594232
46,270.999,248.0,35.0,50,53,35,False,0.785047,,0.262513,,-0.798416,,0.594232
46,221.0,300.999,35.0,50,53,35,False,0.785047,,0.262513,,-0.798416,,0.594232
46,270.999,300.999,35.0,50,53,35,False,0.785047,,0.262513,,-0.798416,,0.594232
46,221.0,248.0,69.999,50,53,35,False,0.785047,,0.262513,,-0.798416,,0.594232
46,270.999,248.0,69.999,50,53,35,False,0.785047,,0.262513,,-0.798416,,0.594232
46,221.0,300.999,69.999,50,53,35,False,0.785047,,0.262513,,-0.798416,,0.594232
46,270.999,300.999,69.999,50,53,35,False,0.785047,,0.262513,,-0.798416,,0.594232
91,221.0,248.0,70.0,50,53,35,False,-0.0344609,,0.475972,,0.628921,,0.221099
91,270.999,248.0,70.0,50,53,35,False,-0.0344609,,0.475972,,0.628921,,0.221099
91,221.0,300.999,70.0,50,53,35,False,-0.0344609,,0.475972,,0.628921,,0.221099
91,270.999,300.999,70.0,50,53,35,False,-0.0344609,,0.475972,,0.628921,,0.221099
91,221.0,248.0,104.999,50,53,35,False,-0.0344609,,0.475972,,0.628921,,0.221099
91,270.999,248.0,104.999,50,53,35,False,-0.0344609,,0.475972,,0.628921,,0.221099
91,221.0,300.999,104.999,50,53,35,False,-0.0344609,,0.475972,,0.628921,,0.221099
91,270.999,300.999,104.999,50,53,35,False,-0.0344609,,0.475972,,0.628921,,0.221099
136,221.0,248.0,105.0,50,53,35,False,0.985942,,-0.310841,,-0.6586,,0.476672
136,270.999,248.0,105.0,50,53,35,False,0.985942,,-0.310841,,-0.6586,,0.476672
136,221.0,300.999,105.0,50,53,35,False,0.985942,,-0.310841,,-0.6586,,0.476672
136,270.999,300.999,105.0,50,53,35,False,0.985942,,-0.310841,,-0.6586,,0.476672
136,221.0,248.0,139.999,50,53,35,False,0.985942,,-0.310841,,-0.6586,,0.476672
136,270.999,248.0,139.999,50,53,35,False,0.985942,,-0.310841,,-0.6586,,0.476672
136,221.0,300.999,139.999,50,53,35,False,0.985942,,-0.310841,,-0.6586,,0.476672
136,270.999,300.999,139.999,50,53,35,False,0.985942,,-0.310841,,-0.6586,,0.476672
10,221.0,301.0,0.0,50,53,35,False,0.757043,,0.0379866,,-1.05067,,0.567345
10,270.999,301.0,0.0,50,53,35,False,0.757043,,0.0379866,,-1.05067,,0.567345
10,221.0,353.999,0.0,50,53,35,False,0.757043,,0.0379866,,-1.05067,,0.567345
10,270.999,353.999,0.0,50,53,35,False,0.757043,,0.0379866,,-1.05067,,0.567345
10,221.0,301.0,34.998999999999995,50,53,35,False,0.757043,,0.0379866,,-1.05067,,0.567345
10,270.999,301.0,34.998999999999995,50,53,35,False,0.757043,,0.0379866,,-1.05067,,0.567345
10,221.0,353.999,34.998999999999995,50,53,35,False,0.757043,,0.0379866,,-1.05067,,0.567345
10,270.999,353.999,34.998999999999995,50,53,35,False,0.757043,,0.0379866,,-1.05067,,0.567345
55,221.0,301.0,35.0,50,53,35,False,0.159095,,0.16854,,-0.346185,,0.378392
55,270.999,301.0,35.0,50,53,35,False,0.159095,,0.16854,,-0.346185,,0.378392
55,221.0,353.999,35.0,50,53,35,False,0.159095,,0.16854,,-0.346185,,0.378392
55,270.999,353.999,35.0,50,53,35,False,0.159095,,0.16854,,-0.346185,,0.378392
55,221.0,301.0,69.999,50,53,35,False,0.159095,,0.16854,,-0.346185,,0.378392
55,270.999,301.0,69.999,50,53,35,False,0.159095,,0.16854,,-0.346185,,0.378392
55,221.0,353.999,69.999,50,53,35,False,0.159095,,0.16854,,-0.346185,,0.378392
55,270.999,353.999,69.999,50,53,35,False,0.159095,,0.16854,,-0.346185,,0.378392
100,221.0,301.0,70.0,50,53,35,False,0.622496,,-0.0953631,,0.833429,,0.726901
100,270.999,301.0,70.0,50,53,35,False,0.622496,,-0.0953631,,0.833429,,0.726901
100,221.0,353.999,70.0,50,53,35,False,0.622496,,-0.0953631,,0.833429,,0.726901
100,270.999,353.999,70.0,50,53,35,False,0.622496,,-0.0953631,,0.833429,,0.726901
100,221.0,301.0,104.999,50,53,35,False,0.622496,,-0.0953631,,0.833429,,0.726901
100,270.999,301.0,104.999,50,53,35,False,0.622496,,-0.0953631,,0.833429,,0.726901
100,221.0,353.999,104.999,50,53,35,False,0.622496,,-0.0953631,,0.833429,,0.726901
100,270.999,353.999,104.999,50,53,35,False,0.622496,,-0.0953631,,0.833429,,0.726901
145,221.0,301.0,105.0,50,53,35,False,0.843841,,-0.1337,,-0.368385,,-0.0285494
145,270.999,301.0,105.0,50,53,35,False,0.843841,,-0.1337,,-0.368385,,-0.0285494
145,221.0,353.999,105.0,50,53,35,False,0.843841,,-0.1337,,-0.368385,,-0.0285494
145,270.999,353.999,105.0,50,53,35,False,0.843841,,-0.1337,,-0.368385,,-0.0285494
145,221.0,301.0,139.999,50,53,35,False,0.843841,,-0.1337,,-0.368385,,-0.0285494
145,270.999,301.0,139.999,50,53,35,False,0.843841,,-0.1337,,-0.368385,,-0.0285494
145,221.0,353.999,139.999,50,53,35,False,0.843841,,-0.1337,,-0.368385,,-0.0285494
145,270.999,353.999,139.999,50,53,35,False,0.843841,,-0.1337,,-0.368385,,-0.0285494
19,221.0,354.0,0.0,50,53,35,False,0.80502,,-0.751643,,-0.784461,,0.885003
19,270.999,354.0,0.0,50,53,35,False,0.80502,,-0.751643,,-0.784461,,0.885003
19,221.0,406.999,0.0,50,53,35,False,0.80502,,-0.751643,,-0.784461,,0.885003
19,270.999,406.999,0.0,50,53,35,False,0.80502,,-0.751643,,-0.784461,,0.885003
19,221.0,354.0,34.998999999999995,50,53,35,False,0.80502,,-0.751643,,-0.784461,,0.885003
19,270.999,354.0,34.998999999999995,50,53,35,False,0.80502,,-0.751643,,-0.784461,,0.885003
19,221.0,406.999,34.998999999999995,50,53,35,False,0.80502,,-0.751643,,-0.784461,,0.885003
19,270.999,406.999,34.998999999999995,50,53,35,False,0.80502,,-0.751643,,-0.784461,,0.885003
64,221.0,354.0,35.0,50,53,35,False,0.654695,,0.273328,,-0.135355,,0.795796
64,270.999,354.0,35.0,50,53,35,False,0.654695,,0.273328,,-0.135355,,0.795796
64,221.0,406.999,35.0,50,53,35,False,0.654695,,0.273328,,-0.135355,,0.795796
64,270.999,406.999,35.0,50,53,35,False,0.654695,,0.273328,,-0.135355,,0.795796
64,221.0,354.0,69.999,50,53,35,False,0.654695,,0.273328,,-0.135355,,0.795796
64,270.999,354.0,69.999,50,53,35,False,0.654695,,0.273328,,-0.135355,,0.795796
64,221.0,406.999,69.999,50,53,35,False,0.654695,,0.273328,,-0.135355,,0.795796
64,270.999,406.999,69.999,50,53,35,False,0.654695,,0.273328,,-0.135355,,0.795796
