Block ID,X Center,Y Center,Z Center,X Size,Y Size,Z Size,Category,CYB5A,SOD1,CA2,RBP4,ALB,TF,CAT
1,246,274.5,17.5,50,53,35,False,0.899453,,0.0471147,,-0.378781,,0.652955
46,246,274.5,52.5,50,53,35,False,0.785047,,0.262513,,-0.798416,,0.594232
91,246,274.5,87.5,50,53,35,False,-0.0344609,,0.475972,,0.628921,,0.221099
136,246,274.5,122.5,50,53,35,False,0.985942,,-0.310841,,-0.6586,,0.476672
10,246,327.5,17.5,50,53,35,False,0.757043,,0.0379866,,-1.05067,,0.567345
55,246,327.5,52.5,50,53,35,False,0.159095,,0.16854,,-0.346185,,0.378392
100,246,327.5,87.5,50,53,35,False,0.622496,,-0.0953631,,0.833429,,0.726901
145,246,327.5,122.5,50,53,35,False,0.843841,,-0.1337,,-0.368385,,-0.0285494
19,246,380.5,17.5,50,53,35,False,0.80502,,-0.751643,,-0.784461,,0.885003
64,246,380.5,52.5,50,53,35,False,0.654695,,0.273328,,-0.135355,,0.795796
109,246,380.5,87.5,50,53,35,False,0.881249,,-0.643257,,-0.78811,,0.77652
154,246,380.5,122.5,50,53,35,False,0.159911,,-0.000419434,,-0.427556,,0.243218
28,246,433.5,17.5,50,53,35,False,-0.0237165,,0.702926,,-0.309208,,0.616232
73,246,433.5,52.5,50,53,35,False,0.021493,,-0.205612,,0.700968,,0.277606
118,246,433.5,87.5,50,53,35,False,0.890391,,-0.670028,,-0.22853,,0.402488
163,246,433.5,122.5,50,53,35,False,0.843841,,-0.24054,,-0.326954,,-0.371501
37,246,486.5,17.5,50,53,35,False,0.649476,,1.17345,,0.180816,,0.792348
82,246,486.5,52.5,50,53,35,False,-0.106935,,0.225758,,0.106788,,0.414063
127,246,486.5,87.5,50,53,35,False,-0.120018,,0.401833,,0.169444,,1.13457
172,246,486.5,122.5,50,53,35,False,0.872023,,0.0545315,,-0.679875,,0.212001
2,296,274.5,17.5,50,53,35,False,0.814864,,0.0990336,,-0.959506,0.029052,1.31657
47,296,274.5,52.5,50,53,35,False,-0.0948196,,0.289959,,1.00086,,0.527779
92,296,274.5,87.5,50,53,35,False,,,,,,,
137,296,274.5,122.5,50,53,35,False,0.368367,,0.0805061,,-0.110636,,0.0888148
11,296,327.5,17.5,50,53,35,False,-0.27024,,0.10015,,-0.682718,,1.1449
56,296,327.5,52.5,50,53,35,False,0.627069,,0.164357,,1.02469,,0.226478
